장소 POI에 대한 ID 구분 번호 체계,위치좌표 X축값 ,위치좌표 Y축값 ,종류 구분 체계 ,장소 명칭,전화번호,추가전화번호,팩스번호,주소,신규 거리명 주소,데이터기준일자
65000,126.636892,33.448624,교통시설,한화리조트제주대형주차장,,,,제주특별자치도 제주시 회천동 3-16,제주특별자치도 제주시 명림로 575-107,2015-12-31
65001,126.636592,33.448516,도로시설,한화리조트제주대형주차장입구,,,,제주특별자치도 제주시 회천동 산 5-8,,2015-12-31
65002,126.636567,33.449082,도로시설,한화리조트제주대형주차장출구,,,,제주특별자치도 제주시 회천동 3-16,제주특별자치도 제주시 명림로 575-107,2015-12-31
65003,126.62848,33.461222,공공기관,제주환경사무소,,,,제주특별자치도 제주시 회천동 294-22,제주특별자치도 제주시 송이길 226,2015-12-31
65004,126.633504,33.481912,레져/스포츠,동부그린골프클럽,,,,제주특별자치도 제주시 조천읍 와흘리 835,제주특별자치도 제주시 종인내길 323,2015-12-31
65005,126.645966,33.464239,교통시설,제피로스골프클럽주차장,,,,제주특별자치도 제주시 조천읍 와흘리 2927-3,,2015-12-31
65006,126.680387,33.493828,공공기관,와산분국,,,,제주특별자치도 제주시 조천읍 와산리 877-4,,2015-12-31
65007,126.639915,33.538464,자동차관련,만세수리점,,,,제주특별자치도 제주시 조천읍 조천리 2350,제주특별자치도 제주시 신북로 263,2015-12-31
65008,126.666913,33.538248,문화/종교/예술,함덕교당,,,,제주특별자치도 제주시 조천읍 함덕리 1422-1,,2015-12-31
65009,126.668437,33.542647,도로시설,함덕해수욕장입구,,,,제주특별자치도 제주시 조천읍 함덕리 14-42,,2015-12-31
65010,126.66975,33.541814,교통시설,함덕해수욕장주차장,,,,제주특별자치도 제주시 조천읍 함덕리 1004-5,,2015-12-31
65011,126.665463,33.542122,음식점,장원삼계탕,064-783-9929,,,제주특별자치도 제주시 조천읍 함덕리 1252-10,제주특별자치도 제주시 조함해안로 492-5,2015-12-31
65012,126.751792,33.550989,도로시설,김녕리사거리,,,,제주특별자치도 제주시 구좌읍 김녕리 2121,제주특별자치도 제주시 김녕로8길 26,2015-12-31
65013,126.645252,33.531723,농공시설,한라양계영농조합법인,,,,제주특별자치도 제주시 조천읍 조천리 1495-1,,2015-12-31
65014,126.862296,33.516878,교육기관,세화체육관,,,,제주특별자치도 제주시 구좌읍 세화리 73,제주특별자치도 제주시 세종로 26,2015-12-31
65015,126.825375,33.475099,관광/숙박,월랑봉,064-783-3001,,,제주특별자치도 제주시 구좌읍 세화리 산 6,,2015-12-31
